,School Name,Coordinates,Address,School Type,latitude,longitude
285,مسجد العوالي,"'24.5526635', '46.589986'","Alawali، 6125 زينب بنت الحافظ الطبريه، 3671, Riyadh 14926",Mosque,24.5526635,46.589986
286,مسجد حي الحزم,"'24.5323122', '46.6508735'","GMJ2+WFF, 65, Alhazm, Riyadh 12684",Mosque,24.5323122,46.6508735
287,مسجد العوالي,"'24.5526635', '46.589986'","Alawali، 6125 زينب بنت الحافظ الطبريه، 3671, Riyadh 14926",Mosque,24.5526635,46.589986
288,جامع الحزم,"'24.5451567', '46.6612557'","GMW6+3J7, Al Mashahir, Alhazm, Riyadh 14964",Mosque,24.5451567,46.6612557
289,Hia bint Saif Alqdaa mosque,"'24.5529468', '46.5984041'","HH3X+5FG، طريق نجم الدين الأيوبي الفرعي, Alawali, Riyadh 14925",Mosque,24.5529468,46.5984041
290,Hia bint Saif Alqdaa mosque,"'24.5529468', '46.5984041'","HH3X+5FG، طريق نجم الدين الأيوبي الفرعي, Alawali, Riyadh 14925",Mosque,24.5529468,46.5984041
291,Abdullah Aljadeed (may Allah have mercy on him),"'24.5537159', '46.5943623'","4008, Alawali, 6071, Riyadh 14926",Mosque,24.5537159,46.5943623
292,مسجد الفرقان,"'24.555102', '46.5990345'","HH4X+2PW, Alsedq, Alawali, Riyadh 14925",Mosque,24.555102,46.5990345
293,Zahra mosque,"'24.5861031', '46.6571881'","6525 Ibn Al Manfalouti, As Suwaidi, Riyadh 12788",Mosque,24.5861031,46.6571881
294,Zahra mosque,"'24.5861031', '46.6571881'","6525 Ibn Al Manfalouti, As Suwaidi, Riyadh 12788",Mosque,24.5861031,46.6571881
295,Al Sanea Mosque,"'24.5859293', '46.6662791'","2857 السويدي العام، السويدي، الرياض 12794 7805 Al Souweidi Al Aam, 7805, As Suwaidi, Riyadh 12794",Mosque,24.5859293,46.6662791
296,جامع عثمان الحصيني,"'24.583672', '46.6592236'","6253 Al Fustat, 3674, As Suwaidi, Riyadh 12788",Mosque,24.583672,46.6592236
297,جامع السويدي,"'24.5901811', '46.6594372'","6981 السر، السويدي الرياض 12788 3630 Al Serr, 3630, As Suwaidi, Riyadh 12788",Mosque,24.5901811,46.6594372
298,جامع السويدي,"'24.5901811', '46.6594372'","6981 السر، السويدي الرياض 12788 3630 Al Serr, 3630, As Suwaidi, Riyadh 12788",Mosque,24.5901811,46.6594372
299,Eid Musalla,"'24.5891982', '46.6522854'","HMQ3+M2G, Aishah Bint Abi Bakr, As Suwaidi, Riyadh 12788",Mosque,24.5891982,46.6522854
300,Zahra mosque,"'24.5861031', '46.6571881'","6525 Ibn Al Manfalouti, As Suwaidi, Riyadh 12788",Mosque,24.5861031,46.6571881
301,Hamidi Mosque,"'24.5928085', '46.6520383'","HMV2+4WG, Ibn Al Kaki, Dhahrat Al Badi'ah, Riyadh 12784",Mosque,24.5928085,46.6520383
302,مسجد حمد الموسى بالعريجاء الأوسط,"'24.6185887', '46.6542122'","4646 Yazid Ibn Abi Sufyan, Al Uraija Al Wusta, Riyadh 12767",Mosque,24.6185887,46.6542122
303,مسجد عائشة بنت أبي بكر العريجا الأوسط,"'24.6166968', '46.6348617'","2731 Abi Saleh Al Jaili, 7816, Al Uraija Al Wusta, Riyadh 12765",Mosque,24.6166968,46.6348617
304,مسجد العريجاء القديمة,"'24.6263229', '46.6585645'","JMG5+GGH, Al Uraija, Riyadh 12756",Mosque,24.6263229,46.6585645
305,جامع المزروع,"'24.5958209', '46.615973'","8108 Salman Al Hanbali, Aluraija Al Gharbiyah, Riyadh 12975",Mosque,24.5958209,46.615973
306,Al-aqeel Mosque,"'24.6235946', '46.737016'","شارع Abdul Latif Al Mashuk, Ghubairah, Riyadh 12664",Mosque,24.6235946,46.737016
307,مسجد جامع وسط غبيراء,"'24.6176865', '46.7320714'","JP9J+3WH, Yaqoub Al Safar, Ghubairah, Riyadh 12665",Mosque,24.6176865,46.7320714
308,مسجد ابن عساكر,"'24.6216638', '46.7398424'","Ghubairah، حي 7192 إبن المهاجر، 4321, Riyadh 12664",Mosque,24.6216638,46.7398424
309,مسجد حي الشماسية,"'24.6254291', '46.7392476'","JPGQ+5RF، أصات, Ghubairah, Riyadh 12664",Mosque,24.6254291,46.7392476
310,Imam Sheikh Ali al-Sadoun name,"'24.6449341', '46.727943'","3326 السند، Al Amal, 7653, Riyadh 12644",Mosque,24.6449341,46.727943
311,جامع الملك عبدالله بحي العمل,"'24.6470212', '46.7248497'","3011-3045 Asad Ibn Fourat, Al Amal, Riyadh 12644",Mosque,24.6470212,46.7248497
312,Al-aqeel Mosque,"'24.6235946', '46.737016'","شارع Abdul Latif Al Mashuk, Ghubairah, Riyadh 12664",Mosque,24.6235946,46.737016
313,مسجد حي الشماسية,"'24.6254291', '46.7392476'","JPGQ+5RF، أصات, Ghubairah, Riyadh 12664",Mosque,24.6254291,46.7392476
314,مسجد حي الشماسية,"'24.6254291', '46.7392476'","JPGQ+5RF، أصات, Ghubairah, Riyadh 12664",Mosque,24.6254291,46.7392476
315,Al-aqeel Mosque,"'24.6235946', '46.737016'","شارع Abdul Latif Al Mashuk, Ghubairah, Riyadh 12664",Mosque,24.6235946,46.737016
316,مسجد الصناعية,"'24.6407368', '46.7380449'","JPRQ+78W حي, Al Qutadiyah, Al Sina'iyah, Riyadh 12843",Mosque,24.6407368,46.7380449
317,مسجد أنس بن مالك,"'24.6358248', '46.7427388'","JPPV+86F، شارع السنبل، حي الصناعية, Al Sina'iyah, Riyadh 12871",Mosque,24.6358248,46.7427388
318,جامع ابن منيع رحمه الله,"'24.6147472', '46.723832'","Al Aghar, 3868، 7137 الاغر، منفوحة الجديدة، الرياض 12656 3868, Riyadh 12656",Mosque,24.6147472,46.723832
319,جامع السلامة بحي منفوحة,"'24.6065183', '46.7116373'","JP46+JQ3, Manfouhah Al Jadidah, Riyadh 12655",Mosque,24.6065183,46.7116373
320,Mosque Prince Mohammed bin Saud,"'24.6146738', '46.7195918'","3431 Manfuhah, Manfouhah Al Jadidah, Riyadh 12656",Mosque,24.6146738,46.7195918
321,جامع الملك خالد,"'24.6044782', '46.7228962'","JP3F+Q7W, Ibn Al Arabi, Manfuhah, Riyadh 12683",Mosque,24.6044782,46.7228962
322,جامع الأمير ناصر بن سعود وأخيه غالب -رحمهما الله-,"'24.6039721', '46.7184267'","JP39+HFQ، عفيف بن عبدالخالق، ممر،, Riyadh",Mosque,24.6039721,46.7184267
323,جامع الملك خالد,"'24.6044782', '46.7228962'","JP3F+Q7W, Ibn Al Arabi, Manfuhah, Riyadh 12683",Mosque,24.6044782,46.7228962
324,Masjid,"'24.6049882', '46.7204764'","3758 Loqman, Al Yamamah, Riyadh 12672",Mosque,24.6049882,46.7204764
325,Masjid Fatimah Al Zahrah,"'24.6060565', '46.7207665'","2144 Ouraiarah, Manfuhah, Riyadh 12681",Mosque,24.6060565,46.7207665
