الحي,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile,Mean
الريان,3661.1509565217393,4558.404558404558,6073.597713469097,7086.6146,8623.07786,6041.280901828813
الزاهر,253.33329000000003,405.95235,529.2338,633.3333,672.91662,478.1665625
الزهراء,2112.363191385009,2624.071639048192,3200.0,3800.0,4040.1248,3248.455792249904
الزهرة,1630.5,1840.0,2150.0,3327.322225,4320.7495844038085,2634.02356619818
الزهور,437.7,563.8888388888889,632.0,706.6391941391942,829.1208791208791,646.6068760223066
السعادة,1900.0,2200.0,2250.0,2539.21355,4040.735387553279,2623.2466345178286
السلام,2689.99998,3000.0,3928.6032999999998,5244.703975663485,6256.4120567375885,4172.152824986136
السلى,880.0,1300.0,1726.190476190476,2444.4444444444443,4187.5,2053.503339351939
السليمانية,2861.734375718556,4181.8181,5200.0,6880.0,8667.68236005754,5735.972671218532
السويدى,1200.0,1591.0,2080.0,3000.0,4196.8,2377.5577953910997
الشرفية,2409.71916,2678.5714285714284,3796.063773871401,4830.109775222164,6714.712459504422,4062.7149619052775
الشرق,400.95829746147024,489.9425287356322,696.6666666666667,1342.25,2185.5555400000003,1037.6298044054538
الشعاب,1631.3220027560862,2302.8039733578316,2467.4398510417645,2904.665873368176,3249.189581523062,2449.3171451069707
الشفاء,954.3199400000001,1428.5714258928574,1846.0,3015.477272727273,3707.0976874586863,2175.7069095316106
الشمال,952.3809523809524,952.3809523809524,952.3809523809524,952.3809523809524,952.3809523809524,952.3809523809524
الشميسى,742.5853675816101,1043.0340833333335,1282.480205196833,2745.412870252713,4159.437107042842,1959.6189652330495
الشهداء,2951.7447476125512,4584.5,5459.712100000001,6370.5,8185.827546071778,5616.8994513057805
الصالحية,1139.3719806763286,2300.906851476264,3809.2956,4748.156185738255,6562.0169,3887.0096631606566
الصحافة,3535.0692307692307,5850.0,8436.858646971006,13396.134202875775,17472.600000000002,9938.611166497187
الصفاء,2650.000242889412,2950.0,3300.0,3350.00031785183,3499.0,3165.275660508161
الصناعية,1488.5807,1825.0,2142.8571428571427,3393.1372499999998,4799.99996,2771.5127555119698
الضباط,2000.0,2555.555555555556,3302.0,5200.0,7804.11667154424,4658.095382356099
الطويلعة,1092.2619047619048,1144.642857142857,1209.9206349206352,1368.4157314730564,3316.8265394741743,1873.0030263855715
العارض,4566.9212800000005,5735.164377861007,6457.32412033592,7200.0,8575.238481057695,6457.08216434772
العجلية,3970.0,4075.0,4250.0,4425.0,4530.0,4250.0
العريجاء,996.0880000000001,1484.02775,1875.0,2375.0,3466.0227272727284,2070.272935715778
العزيزية,937.3994400000001,1400.0,1666.0,2552.5,3536.6978616203664,2011.646912816791
العقيق,3000.0,5850.0,7330.0,8640.0,12000.0,9994.411719553396
العلا,172.22217,347.222175,488.88885,538.88885,548.8888400000001,397.222175
العليا,3240.0,4166.666666666667,6000.0,17500.0,21000.0,10003.145975672904
العمل,1458.663549090909,1800.0,3227.659316879167,6648.390777966322,12723.79646283785,4840.23300397613
العوالي,1950.0,2229.1666666666665,3191.537970076952,4068.27695,4514.099999999999,3196.4815460388218
العود,736.6899826734262,1233.9978999999998,1995.0,2854.5,4867.541518101343,2433.8734056867083
الغدير,3386.6666666666665,5625.0,7000.0,8671.246029987444,10432.47344461305,7167.0102524954145
الغروب,319.14676000000003,1801.9932932982206,2134.234369116159,3407.580247049822,4372.01289,2521.4282466510067
الغنامية,312.0,408.625,519.4805194805194,676.4880952380952,1000.0,594.6982197936372
الفاخرية,1283.76068,1792.3415,1975.0,2119.7168674698796,2896.0,1977.7066932626294
