,Unnamed: 0.1,Unnamed: 0,School Name,Coordinates,Address,School Type,latitude,longitude,District,Address3
89,,89,Sehab Al Elem Int'l Schools مدارس سحاب العلم العالمية,,"RQ2R+R25, Al Muqdah, Al Yarmuk, Riyadh 13251",School,24.8020116,46.7898171, Al Muqdah, Al Muqdah
90,,90,School,,"QQVX+QCV, Ishbiliyah, Riyadh 13226",High school,24.7944962,46.7982475, Ishbiliyah, Ishbiliyah
91,,91,مدارس رواد العلا,,"Al Bahar Al Arabi, Ishbiliyah, Riyadh 13226",Educational institution,24.7998518,46.7955646, Ishbiliyah, Ishbiliyah
92,,92,Pioneers princes schools,,"3006 العماسية، 6551, Ishbiliyah, Riyadh 13226",School,24.7858199,46.7940351, Ishbiliyah, Ishbiliyah
93,,93,ابتدائية الرواد الأهليه - اشبيلية,,"6866 4204 الهملة, Al Yarmuk, Riyadh 13251",School,24.8066704,46.7973437, Al Yarmuk, Al Yarmuk
94,,94,مدارس علوم الرياض بحي الخليج - أقسام البنات,,"Shaikh Abdulaziz Ibn Abdulrahman Ibn Bishr, Al Khaleej, Riyadh 13224",Private educational institution,24.7851455,46.8026868, Al Khaleej, Al Khaleej
95,,95,المسار المصري بنات - مدارس الرواد - أشبيليا,,"QQWX+463 حي, Ishbiliyah, Riyadh 13226",School,24.7952544,46.7977432, Ishbiliyah, Ishbiliyah
96,,96,المسار المصري بنات - مدارس الرواد - أشبيليا,,"QQWX+463 حي, Ishbiliyah, Riyadh 13226",School,24.7952559,46.7977432, Ishbiliyah, Ishbiliyah
97,,97,School,,"QQVX+QCV, Ishbiliyah, Riyadh 13226",High school,24.7944962,46.7982475, Ishbiliyah, Ishbiliyah
98,,98,ابتدائية الرواد الأهليه - اشبيلية,,"6866 4204 الهملة, Al Yarmuk, Riyadh 13251",School,24.8066704,46.7973437, Al Yarmuk, Al Yarmuk
99,,99,Ahiblia Educational Complex - the pioneer schools,,"3325 Abdallah Ibn Qais, Ishbiliyah, Riyadh 13226",School,24.7945625,46.7962866, Ishbiliyah, Ishbiliyah
