,District Name,Coordinates,address,url,latitude,longitude
73,As Sulay,"24.6540314, 46.8152561",0,"https://www.google.com/maps/place/As+Sulay,+Riyadh/@24.6540314,46.8152561,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2fa80938a44ddf:0xc6df1d7882486c4a!8m2!3d24.6571726!4d46.8344515!16s%2Fg%2F1tdytvg1?entry=ttu",24.6540314,46.8152561
75,Al Birriyyah,"24.5479287, 46.8974906",0,"https://www.google.com/maps/place/Al+Birriyyah,+Riyadh/@24.5479287,46.8974906,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2fa2beaafd6bd7:0x2156e42af7c04183!8m2!3d24.5772561!4d46.8969163!16s%2Fg%2F1hfc1bp1q?entry=ttu",24.5479287,46.8974906
77,Al Nasiriyyah,"24.6518925, 46.6711015",0,"https://www.google.com/maps/place/Al+Nasiriyyah,+Riyadh/@24.6518925,46.6711015,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f04b810f1797f:0xee987287e3a9b07a!8m2!3d24.6541241!4d46.6794361!16s%2Fg%2F1wh4db66?entry=ttu",24.6518925,46.6711015
79,Irqah,"24.6889803, 46.5079581",0,"https://www.google.com/maps/place/Irqah,+Riyadh/@24.6889803,46.5079581,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1e73d0cbb057:0x418abd951a58884a!8m2!3d24.6872441!4d46.5823725!16s%2Fm%2F0dd8jyz?entry=ttu",24.6889803,46.5079581
80,حي ظهرة لبن,"24.6532569, 46.5766714","حي ظهرة لبن، 3105 شارع الطائف، RDLG3105، 9084, Riyadh 12564","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%B8%D9%87%D8%B1%D8%A9+%D9%84%D8%A8%D9%86%E2%80%AD/@24.6532569,46.5766714,21z/data=!4m10!1m2!2m1!1zINit2Yog2LjZh9ix2Kkg2YTYqNmGICwgUml5YWRo!3m6!1s0x3e2f1f32c16fc863:0x5400f501d6fb8bff!8m2!3d24.6532569!4d46.5769691!15sCh3YrdmKINi42YfYsdipINmE2KjZhiAsIFJpeWFkaFodIhvYrdmKINi42YfYsdipINmE2KjZhiByaXlhZGiSAQZtYXJrZXSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlVORzh5ZUZkUkVBReABAA!16s%2Fg%2F11kk4c0f80?entry=ttu",24.6532569,46.5766714
82,Tuwik,"24.4747984, 46.2830362",0,"https://www.google.com/maps/place/Tuwik,+Al-Muzahmiya/@24.4747984,46.2830362,15z/data=!3m1!4b1!4m6!3m5!1s0x3e2f2e0cb5edff21:0x60c021a603cf9798!8m2!3d24.4725109!4d46.2877854!16s%2Fg%2F11bbswx1cq?entry=ttu",24.4747984,46.2830362
84,Dirab,"24.5103782, 46.5780372",0,"https://www.google.com/maps/place/Dirab,+Riyadh/@24.5103782,46.5780372,13z/data=!3m1!4b1!4m6!3m5!1s0x3e2f117d1bbe7e2b:0x8c3465d8924d4b7!8m2!3d24.4898823!4d46.6204606!16s%2Fg%2F1tdqfyqz?entry=ttu",24.5103782,46.5780372
86,Dhahrat Al Badi'ah,"24.5971107, 46.633755",0,"https://www.google.com/maps/place/Dhahrat+Al+Badi'ah,+Riyadh/@24.5971107,46.633755,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1a960604a757:0xa0aa3ff0266ab5eb!8m2!3d24.5983243!4d46.6455287!16s%2Fg%2F1hc6vdfkt?entry=ttu",24.5971107,46.633755
88,As Suwaidi,"24.5907646, 46.6586685",0,"https://www.google.com/maps/place/As+Suwaidi,+Riyadh/@24.5907646,46.6586685,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1aaa65e3fce1:0xbcd3e546422102b4!8m2!3d24.5903985!4d46.6726953!16s%2Fm%2F09g8gtz?entry=ttu",24.5907646,46.6586685
89,Um Al Hamam Park,"24.7004556, 46.6480701","8850 Al Awhadi, 3838, Umm Al Hamam Al Gharbi, Riyadh 12328","https://www.google.com/maps/place/Um+Al+Hamam+Park/@24.7004556,46.6480701,21z/data=!4m10!1m2!2m1!1zINit2Yog2KPZhSDYp9mE2K3Zhdin2YUg2KfZhNi62LHYqNmKICwgUml5YWRo!3m6!1s0x3e2f1d1ede8e13fd:0xd86037fd48841e48!8m2!3d24.7004556!4d46.6483678!15sCizYrdmKINij2YUg2KfZhNit2YXYp9mFINin2YTYutix2KjZiiAsIFJpeWFkaFosIirYrdmKINij2YUg2KfZhNit2YXYp9mFINin2YTYutix2KjZiiByaXlhZGiSAQRwYXJrmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJFTjJOdVdYQkJSUkFC4AEA!16s%2Fg%2F1td79mn7?entry=ttu",24.7004556,46.6480701
91,Shubra,"24.5788324, 46.6474562",0,"https://www.google.com/maps/place/Shubra,+Riyadh/@24.5788324,46.6474562,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f101be81f933f:0x5adea7b3bca4a9f7!8m2!3d24.5739032!4d46.6635897!16s%2Fg%2F1tfjd00p?entry=ttu",24.5788324,46.6474562
93,حي ضاحية نمار,"24.510868, 46.5233731",0,"https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9+%D9%86%D9%85%D8%A7%D8%B1%E2%80%AD/@24.510868,46.5233731,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2f17fe3ba88f79:0xa56a1e75e4411357!8m2!3d24.510868!4d46.525948!16s%2Fg%2F11tcl0ts3r?entry=ttu",24.510868,46.5233731
95,مركز صحي العريجاء الاوسط,"24.60218, 46.6254951",0,"https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B5%D8%AD%D9%8A+%D8%A7%D9%84%D8%B9%D8%B1%D9%8A%D8%AC%D8%A7%D8%A1+%D8%A7%D9%84%D8%A7%D9%88%D8%B3%D8%B7%E2%80%AD/@24.60218,46.6254951,17z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1a5996f18845:0x8877e674a0aeb696!8m2!3d24.60218!4d46.62807!16s%2Fg%2F11c1pkpxhl?entry=ttu",24.60218,46.6254951
97,Dhahrat Al Badi'ah,"24.5971107, 46.633755",0,"https://www.google.com/maps/place/Dhahrat+Al+Badi'ah,+Riyadh/@24.5971107,46.633755,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1a960604a757:0xa0aa3ff0266ab5eb!8m2!3d24.5983243!4d46.6455287!16s%2Fg%2F1hc6vdfkt?entry=ttu",24.5971107,46.633755
98,حي الرفيعة,"24.648838, 46.6668318","الرفيعة،، 4349 طريق الأمير فيصل بن فهد بن عبدالعزيز، 8622،, Riyadh 12751،","https://www.google.com/maps/place/%D8%AD%D9%8A+%D8%A7%D9%84%D8%B1%D9%81%D9%8A%D8%B9%D8%A9%E2%80%AD/@24.648838,46.6668318,21z/data=!4m10!1m2!2m1!1zINit2Yog2KfZhNix2YHZiti52KkgLCBSaXlhZGg!3m6!1s0x3e2f1bfe89044e13:0x4e4e8296d624047e!8m2!3d24.648838!4d46.6671295!15sChzYrdmKINin2YTYsdmB2YrYudipICwgUml5YWRoWhwiGtit2Yog2KfZhNix2YHZiti52Kkgcml5YWRokgERYXBhcnRtZW50X2NvbXBsZXiaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRMVFZoUzNSQlJSQULgAQA!16s%2Fg%2F11t7ryr10l?entry=ttu",24.648838,46.6668318
100,As Suwaidi,"24.5907646, 46.6586685",0,"https://www.google.com/maps/place/As+Suwaidi,+Riyadh/@24.5907646,46.6586685,14z/data=!3m1!4b1!4m6!3m5!1s0x3e2f1aaa65e3fce1:0xbcd3e546422102b4!8m2!3d24.5903985!4d46.6726953!16s%2Fm%2F09g8gtz?entry=ttu",24.5907646,46.6586685
